,ds,y
3089,2016-11-23,789.52
3090,2016-11-25,782.9
3091,2016-11-28,799.74
3092,2016-11-29,796.44
3093,2016-11-30,791.51
3094,2016-12-01,778.6
3095,2016-12-02,770.5
3096,2016-12-05,780.0
3097,2016-12-06,785.28
3098,2016-12-07,792.0
3099,2016-12-08,799.0
3100,2016-12-09,809.95
3101,2016-12-12,811.35
3102,2016-12-13,824.3
3103,2016-12-14,824.26
3104,2016-12-15,823.0
3105,2016-12-16,819.2
3106,2016-12-19,816.22
3107,2016-12-20,816.49
3108,2016-12-21,815.72
3109,2016-12-22,811.07
3110,2016-12-23,810.9696
3111,2016-12-27,816.0
3112,2016-12-28,813.33
3113,2016-12-29,805.75
3114,2016-12-30,803.285
3115,2017-01-03,811.435
3116,2017-01-04,813.43
3117,2017-01-05,813.74
3118,2017-01-06,828.96
3119,2017-01-09,830.43
3120,2017-01-10,829.41
3121,2017-01-11,829.9
3122,2017-01-12,830.38
3123,2017-01-13,834.65
3124,2017-01-17,830.18
3125,2017-01-18,829.81
3126,2017-01-19,832.9999
3127,2017-01-20,829.24
3128,2017-01-23,845.5428
3129,2017-01-24,851.52
3130,2017-01-25,858.7936
3131,2017-01-26,861.0
3132,2017-01-27,867.0
3133,2017-01-30,837.23
3134,2017-01-31,823.07
3135,2017-02-01,824.0
3136,2017-02-02,824.56
3137,2017-02-03,826.13
3138,2017-02-06,822.39
3139,2017-02-07,831.92
3140,2017-02-08,834.25
3141,2017-02-09,831.98
3142,2017-02-10,837.15
3143,2017-02-13,841.735
3144,2017-02-14,842.0
3145,2017-02-15,841.7725
3146,2017-02-16,842.69
3147,2017-02-17,846.94
3148,2017-02-21,852.2
3149,2017-02-22,853.79
3150,2017-02-23,852.62
3151,2017-02-24,848.36
3152,2017-02-27,850.67
3153,2017-02-28,848.83
3154,2017-03-01,858.0
3155,2017-03-02,856.49
3156,2017-03-03,850.82
3157,2017-03-06,848.94
3158,2017-03-07,853.33
3159,2017-03-08,856.93
3160,2017-03-09,860.71
3161,2017-03-10,864.2289999999999
3162,2017-03-13,867.13
3163,2017-03-14,867.58
3164,2017-03-15,869.88
3165,2017-03-16,872.71
3166,2017-03-17,874.42
3167,2017-03-20,870.34
3168,2017-03-21,873.47
3169,2017-03-22,855.35
3170,2017-03-23,841.69
3171,2017-03-24,844.0
3172,2017-03-27,841.38
3173,2017-03-28,845.4
3174,2017-03-29,851.585
3175,2017-03-30,852.0
3176,2017-03-31,849.56
3177,2017-04-03,859.0
3178,2017-04-04,853.0
3179,2017-04-05,860.59
3180,2017-04-06,853.59
3181,2017-04-07,845.88
3182,2017-04-10,846.7372
3183,2017-04-11,844.63
3184,2017-04-12,843.72
3185,2017-04-13,843.73
3186,2017-04-17,855.64
3187,2017-04-18,857.39
3188,2017-04-19,860.2
3189,2017-04-20,863.93
3190,2017-04-21,862.44
3191,2017-04-24,879.96
3192,2017-04-25,892.25
3193,2017-04-26,892.99
3194,2017-04-27,893.3774
3195,2017-04-28,935.9
3196,2017-05-01,935.82
3197,2017-05-02,942.985
3198,2017-05-03,950.2
3199,2017-05-04,959.14
3200,2017-05-05,958.4395
3201,2017-05-08,960.99
3202,2017-05-09,962.2
3203,2017-05-10,956.71
3204,2017-05-11,957.99
3205,2017-05-12,957.98
3206,2017-05-15,962.7
3207,2017-05-16,965.8955
3208,2017-05-17,960.99
3209,2017-05-18,954.18
3210,2017-05-19,959.56
3211,2017-05-22,964.82
3212,2017-05-23,974.51
3213,2017-05-24,978.115
3214,2017-05-25,995.78
3215,2017-05-26,996.39
3216,2017-05-30,997.62
3217,2017-05-31,999.6
3218,2017-06-01,993.14
3219,2017-06-02,996.48
3220,2017-06-05,1007.4
3221,2017-06-06,1008.61
3222,2017-06-07,1003.91
3223,2017-06-08,1005.6
3224,2017-06-09,1005.5
3225,2017-06-12,968.0
3226,2017-06-13,977.91
3227,2017-06-14,979.7
3228,2017-06-15,960.6775
3229,2017-06-16,959.95
3230,2017-06-19,979.3
3231,2017-06-20,980.79
3232,2017-06-21,979.67
3233,2017-06-22,980.5
3234,2017-06-23,986.62
3235,2017-06-26,993.99
3236,2017-06-27,967.22
3237,2017-06-28,963.24
3238,2017-06-29,951.66
3239,2017-06-30,944.9995
3240,2017-07-03,934.24
3241,2017-07-05,936.29
3242,2017-07-06,936.14
3243,2017-07-07,944.66
3244,2017-07-10,953.13
3245,2017-07-11,954.89
3246,2017-07-12,969.63
3247,2017-07-13,978.7
3248,2017-07-14,977.54
3249,2017-07-17,983.35
3250,2017-07-18,990.85
3251,2017-07-19,995.6
3252,2017-07-20,998.68
3253,2017-07-21,995.11
3254,2017-07-24,1006.19
3255,2017-07-25,976.73
3256,2017-07-26,973.95
3257,2017-07-27,969.52
3258,2017-07-28,961.79
3259,2017-07-31,961.1925
3260,2017-08-01,954.49
3261,2017-08-02,949.1
3262,2017-08-03,950.0
3263,2017-08-04,947.54
3264,2017-08-07,948.96
3265,2017-08-08,952.49
3266,2017-08-09,943.76
3267,2017-08-10,936.3
3268,2017-08-11,933.36
3269,2017-08-14,941.04
3270,2017-08-15,943.07
3271,2017-08-16,949.9
3272,2017-08-17,943.81
3273,2017-08-18,931.02
3274,2017-08-21,928.25
3275,2017-08-22,941.9617
3276,2017-08-23,945.425
3277,2017-08-24,946.31
3278,2017-08-25,940.73
3279,2017-08-28,934.85
3280,2017-08-29,938.19
3281,2017-08-30,945.86
3282,2017-08-31,957.195
3283,2017-09-01,958.33
3284,2017-09-05,951.3854
3285,2017-09-06,944.5
3286,2017-09-07,950.4965
3287,2017-09-08,950.7
3288,2017-09-11,952.68
3289,2017-09-12,948.085
3290,2017-09-13,952.85
3291,2017-09-14,948.03
3292,2017-09-15,941.75
3293,2017-09-18,936.86
3294,2017-09-19,937.94
3295,2017-09-20,950.0
3296,2017-09-21,952.8
3297,2017-09-22,950.0
3298,2017-09-25,939.75
3299,2017-09-26,944.08
3300,2017-09-27,965.43
3301,2017-09-28,966.18
3302,2017-09-29,975.81
3303,2017-10-02,977.74
3304,2017-10-03,972.44
3305,2017-10-04,974.4
3306,2017-10-05,986.5085
3307,2017-10-06,994.26
3308,2017-10-09,1000.46
3309,2017-10-10,997.47
3310,2017-10-11,1007.56
3311,2017-10-12,1011.54
3312,2017-10-13,1014.76
3313,2017-10-16,1012.0
3314,2017-10-17,1014.56
3315,2017-10-18,1016.31
3316,2017-10-19,1007.32
3317,2017-10-20,1008.65
3318,2017-10-23,1005.79
3319,2017-10-24,989.26
3320,2017-10-25,994.43
3321,2017-10-26,1006.51
3322,2017-10-27,1063.62
3323,2017-10-30,1039.83
3324,2017-10-31,1041.0
3325,2017-11-01,1047.86
3326,2017-11-02,1045.52
3327,2017-11-03,1050.66
3328,2017-11-06,1052.59
3329,2017-11-07,1053.41
3330,2017-11-09,1050.88
3331,2017-11-10,1046.63
3332,2017-11-13,1048.74
3333,2017-11-14,1042.3
3334,2017-11-15,1039.63
3335,2017-11-16,1051.76
